familyid,ethnicgroup,length_of_residence,owner_renter_status,vacant,bathroom_cnt,bedroom_cnt,latitude,longitude
000027948248,J,25,9,0,0,0,034.134220,-118.206830
000028007279,J,33,9,0,1,3,034.041210,-118.131300
000028046226,H,11,9,0,1,2,033.871390,-118.401500
000028061364,J,05,9,0,3,3,033.819490,-118.322070
000028061694,S,17,9,0,1,2,033.823830,-118.123920
000028177266,J,04,9,0,6,5,034.047740,-118.389640
000028318217,W,01,3,0,,,034.174850,-118.540070
000028319551,J,15,9,0,3,4,034.036840,-118.399120
000028351158,E,08,9,0,3,2,034.146270,-118.387360
000028510664,W,05,9,0,1,2,034.174250,-118.385220
000028516966,P,02,4,0,,,034.085920,-118.286160
000028577134,I,10,9,0,0,0,033.835210,-118.238440
000028598710,P,01,1,0,,,034.099960,-118.326250
000028641544,E,03,4,0,,,034.147960,-118.384780
000028718570,L,33,9,0,3,4,034.002100,-118.345690
000028739025,J,01,3,0,,,033.861452,-118.107215
000028750012,F,05,9,0,1,1,033.987890,-118.441900
000028751898,E,12,3,0,,,034.063133,-118.468597
000028823719,K,05,3,0,,,033.756795,-118.397299
000028887304,E,05,9,0,2,3,033.870860,-118.347410
000028912827,D,19,9,0,1,2,033.994910,-118.047100
000028914853,C,08,8,0,0,0,034.024170,-117.884970
000029037364,J,37,9,0,2,3,033.837660,-118.268910
000029162798,E,17,9,0,2,3,033.831050,-118.184130
000029455640,C,10,9,0,3,3,034.095920,-118.050710
000029673013,H,37,9,0,2,4,033.853650,-118.094140
000029721818,K,10,3,0,,,034.107767,-118.152012
000029786917,F,12,9,0,2,2,034.002670,-118.485420
000029810280,D,12,9,0,2,2,034.034700,-118.481090
000029874485,J,03,5,0,,,034.169234,-118.130983
000029891460,J,02,2,0,,,034.099530,-118.349460
000029891575,D,12,9,0,3,4,033.819070,-118.327210
000029902993,S,19,2,0,,,034.026870,-118.514080
000029904712,E,11,9,0,2,3,033.972880,-118.410530
000029909068,P,11,9,0,0,0,034.019290,-118.390180
000029943748,W,09,9,0,3,3,034.118870,-118.403690
000030010702,D,16,9,0,1,1,034.665840,-117.670290
000030019086,B,01,1,0,,,033.971741,-118.375261
000030030133,I,12,9,0,2,2,034.127790,-118.160510
000030070788,C,05,2,0,,,033.778410,-118.382530
000030075495,I,12,9,0,0,0,034.134790,-118.174250
000030090054,I,33,4,0,,,034.021090,-118.490880
000030210851,C,10,8,0,0,0,034.020370,-117.862410
000030217976,E,04,5,0,,,034.064021,-118.471427
000030272708,E,03,9,0,3,3,034.095460,-117.723174
000030272957,J,46,9,0,0,0,034.001840,-118.401820
000030347847,S,07,9,0,3,3,034.462630,-118.623840
000030479561,P,07,1,0,,,034.018640,-118.487220
000030505535,C,10,9,0,3,5,033.994570,-117.820960
000030769148,I,11,9,0,3,4,034.688443,-118.184474
000030811706,H,37,9,0,2,2,034.065650,-117.909570
000030870406,H,11,8,0,0,0,033.946840,-118.029500
000030897368,H,18,9,0,2,4,034.053170,-117.853240
000031195039,H,07,5,0,,,033.956020,-118.163530
000031395594,E,01,2,0,,,034.153178,-118.348850
000031625323,E,04,1,0,,,034.602670,-118.133620
000031626280,J,20,9,0,3,4,033.769120,-118.326570
000031643927,S,04,7,0,0,0,033.835040,-118.110210
000031669867,P,33,9,0,2,4,033.784290,-118.147940
000031861395,E,11,4,0,,,033.732930,-118.302430
000032019811,S,16,9,0,1,3,033.798670,-118.344230
000032056887,H,35,9,0,1,2,034.124970,-117.987270
000032076352,E,11,9,0,2,3,034.201230,-118.154500
000033331991,H,24,9,0,2,2,034.177950,-118.539900
000033519808,E,09,4,0,,,034.185830,-118.405620
000033887557,J,05,9,0,4,3,034.051990,-118.501450
000034053902,P,11,9,0,2,3,033.892520,-118.387240
000034129754,S,02,4,0,,,034.177850,-118.299470
000034855732,I,08,9,0,2,2,033.767640,-118.152060
000034893110,L,25,5,0,,,033.954579,-118.293475
000035044341,P,01,1,0,,,034.088750,-118.383870
000035062092,W,02,9,0,0,0,034.052530,-118.520710
000035081927,E,06,2,0,,,034.062340,-118.312430
000035223453,A,30,9,0,2,3,034.164100,-118.507960
000035248290,K,12,2,0,,,034.065880,-118.280690
000035759507,J,01,2,0,,,034.167550,-118.402550
000035776367,J,14,9,0,2,1,034.081400,-118.367230
000035958155,B,23,5,0,,,033.829240,-118.242630
000036072387,S,13,9,0,3,2,034.431127,-118.537322
000036166584,E,11,9,0,3,3,034.116410,-118.350130
000036234841,I,05,2,0,,,034.025670,-118.510800
000037332434,D,02,7,0,0,0,034.135910,-117.729170
000039131172,E,01,6,0,,,034.221110,-118.241190
000039171845,S,20,5,0,,,034.002469,-118.213089
000039200281,E,15,9,0,2,3,033.794940,-118.136410
000039204073,S,50,9,0,2,3,034.176720,-118.642490
000039222821,E,11,9,0,0,0,033.904090,-117.989640
000039223225,C,13,9,0,1,2,034.053580,-118.181170
000039228584,D,09,8,0,0,0,034.452480,-118.627870
000039242053,H,11,3,0,,,034.194640,-118.602280
000039265712,E,19,9,0,1,2,034.177110,-118.388460
000039282417,J,33,9,0,1,2,034.030760,-118.197100
000039284558,J,06,9,0,3,2,033.847910,-118.361750
000039289524,J,03,9,0,2,4,034.036200,-118.337750
000039350305,H,14,9,0,2,3,034.105660,-117.884330
000039376562,I,04,9,0,0,0,034.680180,-118.079890
000039426408,E,01,1,0,,,033.841860,-118.348730
000039429891,H,38,9,0,1,3,034.034700,-118.126820
000039465060,E,10,3,0,,,033.770320,-118.154602
000039512034,E,07,9,0,2,3,033.922250,-118.346350
000039536341,E,11,9,0,2,2,034.179980,-118.545920
000039539894,I,06,7,0,0,0,034.132970,-117.863200
000039550221,E,01,6,0,,,034.080540,-117.716030
000039555747,S,14,3,0,,,034.206230,-118.391020
000039556586,H,05,7,0,0,0,034.095090,-117.967230
000039578883,E,25,7,0,0,0,034.052678,-118.346202
000039596762,E,19,9,0,3,4,034.447440,-118.549660
000039626382,E,06,4,0,,,033.904430,-118.348660
000039643189,J,01,5,0,,,034.073059,-118.340905
000039643731,E,03,9,0,3,6,034.393510,-118.544640
000039755579,I,12,9,0,3,3,033.765420,-118.124360
000039806343,S,01,3,0,,,033.883990,-118.372350
000039829138,I,16,3,0,,,034.236100,-118.441880
000039886022,J,25,9,0,3,3,034.064750,-118.460620
000039889114,E,06,4,0,,,034.399929,-118.475993
000039889151,H,19,9,0,3,4,034.691474,-118.177298
000039889562,E,28,9,0,2,2,033.823959,-118.186467
000039954779,E,03,9,0,3,4,034.421400,-118.439000
000039956734,I,04,4,0,,,034.104780,-118.273880
000039958448,W,08,6,0,,,034.235180,-118.541180
000040009876,E,04,9,0,1,1,034.150390,-118.252980
000040009965,L,05,6,0,,,033.890970,-118.247850
000040024391,E,33,9,0,1,2,033.939290,-118.193350
000040062897,I,11,9,0,0,0,034.168627,-118.283430
000040087045,H,03,3,0,,,034.024620,-118.418110
000040114557,L,22,8,0,0,0,033.956100,-118.302150
000040194121,E,09,9,0,4,3,033.972610,-118.422840
000040262585,J,09,2,0,,,034.186387,-118.610676
000040351389,N,18,9,0,2,3,034.253100,-118.281370
000040377096,H,41,9,0,2,4,034.036910,-117.925630
000040427136,C,10,9,0,3,2,034.140410,-118.158960
000040446781,D,07,9,0,3,3,034.446600,-118.562440
000040512494,D,04,4,0,,,033.874990,-118.370930
000040535064,F,14,9,0,2,4,034.587070,-118.068980
000040552439,D,36,9,0,1,2,034.120310,-118.198850
000040600483,I,07,9,0,3,3,034.676816,-118.233115
000040603266,A,28,9,0,2,2,034.158840,-118.319360
000040603509,H,27,9,0,3,5,034.118560,-117.711750
000040603745,G,05,3,0,,,034.217650,-118.229900
000040620966,E,01,1,0,,,034.062590,-118.443090
000040621064,I,37,9,0,2,3,033.998680,-117.963280
000040622926,E,20,9,0,5,5,034.210380,-118.649630
000040668695,D,33,7,0,0,0,034.069357,-118.386039
000040719252,H,26,9,0,2,3,034.168470,-118.339370
000040719532,H,10,4,0,,,034.014508,-118.461005
000040730419,I,35,9,0,2,3,034.099610,-118.040360
000040734641,H,33,9,0,2,4,034.268080,-118.538180
000040737767,E,03,7,0,0,0,034.038110,-118.388160
000040750963,E,05,4,0,,,034.706830,-118.062260
000040794758,S,04,1,0,,,034.139235,-117.961910
000040846010,L,33,9,0,2,2,034.003380,-118.338490
000040846751,L,27,9,0,3,4,034.012240,-118.325370
000040884723,E,04,4,0,,,033.903320,-118.344500
000040888358,E,16,9,0,2,3,033.948510,-118.199320
000040935097,I,09,4,0,,,034.083110,-118.378310
000040935461,D,16,9,0,2,3,033.889420,-118.354130
000040937463,E,02,8,0,0,0,034.123139,-117.736591
000040937808,H,11,7,0,0,0,034.132130,-118.232390
000040950397,J,07,9,0,3,3,034.011570,-118.461520
000040953387,P,02,3,0,,,033.836790,-118.059980
000040977233,N,01,5,0,,,034.384439,-118.573799
000040978412,D,34,9,0,2,4,034.017780,-118.363390
000040991511,H,01,8,0,0,0,033.789246,-118.385683
000040993437,J,07,9,0,2,2,034.405397,-118.467795
000041010159,L,08,6,0,,,033.955140,-118.321320
000041050173,S,01,7,0,0,0,034.179390,-118.553130
000041090972,E,12,5,0,,,033.953049,-118.385851
000041093784,J,02,1,0,,,034.236770,-118.421740
000041096177,D,09,9,0,2,2,034.510640,-118.169430
000041096300,H,02,2,0,,,034.003660,-118.469780
000041106837,I,01,2,0,,,034.105080,-117.803770
000041120678,J,34,9,0,3,4,033.995900,-118.377260
000041123391,I,10,9,0,2,3,034.430210,-118.424050
000041124452,J,11,8,0,0,0,034.210670,-118.157340
000041126190,D,02,9,0,0,0,034.153770,-118.552010
000041129096,F,08,9,0,1,3,034.060380,-118.423990
000041142810,I,03,7,0,0,0,034.110070,-117.868610
000041144236,E,35,9,0,2,3,034.158700,-118.242130
000041144448,K,17,8,0,0,0,034.282580,-118.566720
000041144820,E,17,7,0,0,0,033.958120,-118.419980
000041164154,E,26,9,0,2,3,034.560960,-118.077290
000041186650,E,13,9,0,4,5,034.089570,-117.855180
000041186731,E,22,9,0,1,3,034.124520,-118.071130
000041214168,J,28,9,0,5,5,034.136300,-118.475060
000041219354,F,30,9,0,2,4,033.832450,-118.367170
000041253233,E,17,9,0,0,0,034.191710,-118.519390
000041256600,E,21,9,0,3,4,034.628440,-118.213970
000041294172,E,13,9,0,3,3,033.898030,-118.307100
000041294643,C,19,9,0,2,4,033.992670,-117.886210
000041297950,D,15,9,0,2,4,034.688564,-118.197039
000041299965,L,01,7,0,0,0,033.885380,-118.401700
000041329352,H,09,7,0,0,0,034.068240,-117.960230
000041385486,S,04,8,0,0,0,034.684296,-118.204915
000041478959,E,08,9,0,2,3,034.174450,-118.388540
000041494496,E,01,5,0,,,034.010650,-118.467260
000041522069,S,01,7,0,0,0,034.292710,-118.544010
000041850634,E,06,9,0,2,3,033.826460,-118.286510
000041852301,E,04,5,0,,,034.041060,-118.534670
000041894128,E,10,5,0,,,033.921240,-118.137290
000041945036,P,01,5,0,,,033.765400,-118.304230
000041981886,H,04,7,0,0,0,033.989580,-118.060510
000042061516,W,16,9,0,2,3,034.039240,-118.434860
000042068186,E,03,7,0,0,0,034.210962,-118.342901
000042111216,E,20,9,0,2,3,034.153890,-118.628870
000042117018,E,14,7,0,0,0,034.254340,-118.481030
000042151670,E,11,3,0,,,034.146160,-118.388490
000042224966,E,02,4,0,,,034.160080,-118.146480
000042313537,D,01,7,0,0,0,033.821260,-118.125670
000042350883,E,26,9,0,1,2,033.954050,-118.108030
000042374064,D,02,8,0,0,0,034.069020,-117.815130
000042377774,N,13,9,0,0,0,034.141450,-117.969520
000042428734,P,01,5,0,,,034.062164,-118.236121
000042556250,E,15,6,0,,,034.190250,-118.417930
000042556959,E,01,1,0,,,034.072790,-118.391310
000042867659,E,32,9,0,3,5,033.803430,-118.267060
000042997892,E,19,9,0,1,3,034.069630,-117.768370
000043742390,N,02,5,0,,,034.065420,-118.368500
000043893525,D,01,1,0,,,033.999900,-118.478500
000044910904,E,07,2,0,,,034.089990,-118.267270
000045186118,S,12,3,0,,,034.043290,-118.245190
000046607757,E,07,9,0,3,4,034.133610,-118.840080
000046648895,S,01,5,0,,,034.165400,-118.052820
000046758775,W,02,5,0,,,034.188690,-118.404910
000046845205,C,24,9,0,3,4,033.826430,-118.332024
000046866857,C,02,9,0,0,0,034.123370,-118.084370
000046993369,E,33,9,0,2,4,034.427330,-118.463950
000047120259,I,12,5,0,,,033.887869,-118.412022
000047142682,E,05,9,0,1,2,033.795450,-118.196120
000047419005,E,02,2,0,,,034.052780,-118.462680
000047431666,P,19,9,0,2,3,034.171770,-118.075350
000047495984,E,01,7,0,0,0,034.455380,-118.512180
000047546672,W,02,8,0,0,0,033.834530,-118.170770
000047676051,E,16,9,0,0,0,034.150750,-118.424060
000047676860,N,14,9,0,3,4,033.758920,-118.391660
000047677675,E,03,9,0,3,3,034.443560,-118.389150
000047700507,I,15,5,0,,,033.888106,-118.402114
000047705950,E,08,7,0,0,0,034.169070,-118.060210
000047708877,I,01,8,0,0,0,034.178700,-118.617130
000047720064,E,05,9,0,2,2,034.138670,-118.384030
000047786143,E,01,2,0,,,033.973640,-118.374700
000047817963,D,35,9,0,5,5,033.986710,-117.839190
000047920163,K,01,4,0,,,034.151570,-118.105430
000048005796,E,39,9,0,1,3,034.099250,-117.916330
000048199650,D,24,9,0,2,3,033.991500,-117.878070
000048426494,L,07,5,0,,,033.965850,-118.348230
000048666588,D,04,9,0,3,3,034.474630,-118.536120
000048959511,E,01,7,0,0,0,034.118080,-117.787690
000048976305,E,03,3,0,,,034.670625,-118.183582
000048995939,E,08,9,0,3,4,034.110270,-117.725030
000049417430,K,18,9,0,2,2,034.086590,-118.080870
000049567680,F,20,9,0,2,2,033.970320,-118.455440
000049630497,S,04,8,0,0,0,034.141650,-118.829880
000050077092,D,38,9,0,4,4,034.059870,-118.549650
000050232237,E,11,9,0,3,3,034.164850,-118.099770
000050328287,B,04,8,0,0,0,034.177040,-118.125910
000050632228,E,01,3,0,,,034.064250,-118.440580
000050727227,E,11,9,0,3,3,034.449880,-118.393970
000050907788,D,05,9,0,3,2,034.042860,-118.439290
000050942529,F,01,1,0,,,034.024150,-118.499200
000051220885,W,20,9,0,2,2,034.074040,-118.605500
000051229949,E,07,9,0,1,1,034.087950,-118.372150
000051245813,I,04,2,0,,,034.024450,-118.499540
000051558816,E,04,5,0,,,034.161360,-118.346530
000051571821,I,08,9,0,3,4,034.472140,-118.558010
000051593296,E,17,9,0,2,2,034.042480,-118.371350
000051951745,C,15,9,0,2,3,033.784470,-118.370660
000052294184,I,25,3,0,,,033.971380,-118.038260
000052453713,E,10,9,0,3,4,034.588630,-118.163530
000052709709,C,02,7,0,0,0,034.021965,-117.768455
000052907178,I,09,1,0,,,033.786650,-118.194120
000053004066,E,06,3,0,,,034.130360,-118.058360
000053006814,J,29,5,0,,,034.119010,-118.145680
000053045298,C,03,9,0,3,2,033.765230,-118.306630
000053314189,S,27,9,0,4,5,034.049530,-118.522950
000053841572,E,01,9,0,0,0,034.078240,-118.549410
000053883881,W,03,9,0,2,4,034.219024,-118.592044
000053912230,E,02,5,0,,,033.987822,-118.461244
000054124956,E,11,9,0,3,4,034.158310,-118.334470
000054418391,E,15,9,0,2,3,033.962350,-117.852000
000054474653,W,22,9,0,3,3,034.020761,-117.768792
000054491861,C,36,9,0,3,5,033.782190,-118.417440
000054529586,I,01,9,0,0,0,034.185634,-118.649488
000054812030,S,33,9,0,2,2,034.047100,-118.361700
000055003890,L,33,9,0,1,2,034.197500,-118.150680
000055424784,S,05,9,0,2,4,033.757960,-118.310968
000055530819,I,06,9,0,1,2,033.988930,-118.424680
000055739056,H,05,2,0,,,034.132950,-118.243260
000055953514,H,12,9,0,3,2,034.044130,-118.740850
000056035102,E,10,9,0,5,5,034.409740,-118.404730
000056076148,E,01,4,0,,,034.108590,-117.716280
000056380846,E,06,9,0,2,3,033.990190,-118.417040
000056456986,F,11,9,0,3,4,034.434210,-118.466670
000056749338,C,01,2,0,,,033.865920,-118.346380
000057336504,S,20,7,0,0,0,033.794010,-118.294990
000057350544,E,33,9,0,3,3,034.190750,-118.629422
000057552226,J,05,8,0,0,0,033.915150,-118.095430
000057597415,E,03,7,0,0,0,034.014390,-118.400820
000057710809,S,08,9,0,1,2,034.171510,-118.360130
000057843692,E,02,4,0,,,034.050220,-118.343340
000057992150,D,12,6,0,,,033.722190,-118.290910
000058096639,E,08,3,0,,,034.024250,-118.495750
000058098288,I,03,9,0,4,4,034.140610,-118.672980
000058127297,C,13,9,0,6,8,034.053840,-117.884240
000058166891,S,11,4,0,,,034.235800,-118.252430
000058183525,P,11,9,0,3,4,034.284530,-118.387720
000058320771,I,01,7,0,0,0,034.101970,-118.373960
000058541202,J,12,1,0,,,034.062590,-118.443090
000058612570,L,32,9,0,1,2,033.887670,-118.245340
000058928987,S,13,9,0,2,4,034.103570,-118.269220
000058988887,I,09,9,0,3,2,034.276170,-118.612870
000059115879,W,11,9,0,3,4,034.449410,-118.563240
000059131094,E,05,9,0,5,4,034.151860,-117.692870
000059134806,C,12,3,0,,,034.177052,-118.535898
000059139178,W,01,1,0,,,034.102050,-118.346510
000059198132,N,02,5,0,,,034.155459,-118.154639
000059462078,S,06,6,0,,,033.769050,-118.146850
000059578409,J,33,9,0,3,5,034.050750,-118.130850
000059844562,H,15,9,0,3,3,034.043260,-117.939280
000060026804,D,06,5,0,,,033.867640,-118.176480
000060510929,W,08,8,0,0,0,034.432430,-118.400030
000060532713,P,36,9,0,3,5,033.781930,-118.368250
000060716875,H,18,9,0,0,0,033.915420,-118.194390
000061100525,E,18,9,0,6,3,034.054910,-118.410030
000061140523,W,14,5,0,,,034.418063,-118.551207
000061183956,A,01,1,0,,,033.814960,-118.387690
000061231390,E,03,4,0,,,033.741880,-118.388690
